施設名,種別,管理運営機関,都道府県,市区町村,住所,電話番号,アドレス,Webサイト,担当部署,担当者,自主事業,状態,温度感,次回アクション,備考,補完状況,補完元,補完元URL
北海道教育学園三和高等学校,私立高等学校,私立,北海道,上川郡和寒町,北海道上川郡和寒町字三和４１２番地,011-792-1468,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101346400101 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0980112 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
北海道芸術高等学校,私立高等学校,私立,北海道,余市郡仁木町,北海道余市郡仁木町東町５丁目４番地１,0135-48-5131,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101340700012 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0482411 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
北星学園余市高等学校,私立高等学校,私立,北海道,余市郡余市町,北海道余市郡余市町黒川町１９丁目２番地１,0135-22-6211,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101340800100 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0460003 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
函館ラ・サール中学校,私立中学校,私立,北海道,函館市,北海道函館市日吉町１－１２－１,0138-52-0365,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C101320200244 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 0418765 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/2/_/%E7%A7%81%E7%AB%8B%E4%B8%AD%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
函館ラ・サール高等学校,私立高等学校,私立,北海道,函館市,北海道函館市日吉町１－１２－１,0138-52-0365,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320200171 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0410841 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
函館三育小学校,私立小学校,私立,北海道,函館市,北海道函館市桔梗５丁目２６番１号,0138-34-2115,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B101320200503 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 0410808 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/2/2/4/3/6/6/_/%E7%A7%81%E7%AB%8B%E5%B0%8F%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
函館大妻高等学校,私立高等学校,私立,北海道,函館市,北海道函館市柳町１４ー２３,0138-52-1890,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320200162 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0400002 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
函館大学付属有斗高等学校,私立高等学校,私立,北海道,函館市,北海道函館市湯川町２丁目４３－１,0138-57-1381,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320200108 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0428588 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
函館大学付属柏稜高等学校,私立高等学校,私立,北海道,函館市,北海道函館市柏木町１番３４,0138-51-1481,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320200117 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0420942 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
函館大谷高等学校,私立高等学校,私立,北海道,函館市,北海道函館市鍛治１－２－３,0138-52-1834,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D101320200144 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0410852 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,北海道 私立学校名簿PDF,https://www.pref.hokkaido.lg.jp/fs/1/2/6/7/4/2/2/1/_/%E7%A7%81%E7%AB%8B%E9%AB%98%E7%AD%89%E5%AD%A6%E6%A0%A1%E5%90%8D%E7%B0%BF(R7.9.1).pdf
